accepte 58307,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
sortant 57958,ADJECTIVE,HAS_EXAMPLE
degrés 57752,NOUN,PLURAL
limiter 57884,VERB
plainte 57830,NOUN
gouttes 57365,NOUN,PLURAL
combats 57481,VERB,FORM_OF,IMP,INFLECTED_FORM
divorce 57176,NOUN
tromper 57110,VERB,HAS_EXAMPLE
façons 56979,NOUN,PLURAL
ajouté 57002,PARTICIPLE
notions 56905,VERB,FORM_OF,INFLECTED_FORM,SUBJ
attaque 56754,NOUN
étroit 56360,ADJECTIVE
passés 56246,PARTICIPLE
confié 56307,PARTICIPLE
hôtels 56195,NOUN,PLURAL
rigueur 56189,NOUN
étages 56047,NOUN,PLURAL
bateaux 56007,NOUN,PLURAL
clarté 56088,NOUN
aimable 55930,ADJECTIVE,HAS_EXAMPLE
rendant 55771,PARTICIPLE
joindre 55704,VERB,HAS_EXAMPLE
reprise 55384,NOUN,HAS_EXAMPLE
sphère 55239,NOUN
malaise 55270,ADJECTIVE
goûter 55341,NOUN
violent 55069,ADJECTIVE
réunis 55158,PARTICIPLE
italien 55060,ADJECTIVE
profite 54492,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
enlever 54332,VERB,HAS_EXAMPLE
dommage 54318,INTERJECTION
volumes 54337,NOUN,PLURAL
couvrir 54252,VERB
esclave 54279,NOUN
veiller 54157,VERB
fournit 54071,VERB,3PS,FORM_OF,INFLECTED_FORM
viendra 54136,VERB,3PS,INFLECTED_FORM
talents 54013,NOUN,PLURAL
leçons 53958,NOUN,PLURAL
impôts 53566,NOUN,PLURAL
navires 53488,NOUN,PLURAL
péché 53239,NOUN,HAS_EXAMPLE
recueil 53286,NOUN
montée 53298,NOUN,HAS_EXAMPLE
auprès 53262,ADVERB
proposa 53215,VERB,3PS,INFLECTED_FORM
restera 52996,VERB,3PS,INFLECTED_FORM
thèmes 52902,NOUN,PLURAL
voulant 52900,PARTICIPLE
éclats 52798,NOUN,PLURAL
arrête 52705,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
constat 52589,NOUN
falloir 52581,VERB,HAS_EXAMPLE
prêter 52467,VERB,HAS_EXAMPLE
invité 52426,ADJECTIVE
dessins 52406,NOUN,PLURAL
