final 51150,ADJECTIVE
sinon 50855,ADVERB
vrais 50633,ADJECTIVE
nomme 50522,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
index 50476,NOUN
monte 50351,NOUN
curé 50091,NOUN
bords 49614,NOUN,PLURAL
pomme 49520,NOUN,HAS_EXAMPLE
major 49367,NOUN
coude 49265,NOUN
admis 49117,PARTICIPLE
juifs 49041,NOUN,PLURAL
puits 48964,NOUN
piano 48982,NOUN,HAS_EXAMPLE
genou 48753,NOUN
soirs 48840,NOUN,PLURAL
gamin 48723,ADJECTIVE
filet 48593,NOUN
pente 48710,NOUN
anges 48083,NOUN,PLURAL
canon 48015,ADJECTIVE,HAS_EXAMPLE
serre 48073,NOUN,HAS_EXAMPLE
cuire 47738,VERB,3PS,FORM_OF,HAS_EXAMPLE,IMP,INFLECTED_FORM,SUBJ
rangs 47571,NOUN,PLURAL
rejet 47240,NOUN
bœuf 47097,NOUN,HAS_EXAMPLE
messe 47094,NOUN
paume 47172,NOUN
coins 46945,NOUN,PLURAL
juive 46770,ADJECTIVE
monta 46945,VERB,3PS,INFLECTED_FORM
tabac 46415,ADJECTIVE
nette 46192,ADJECTIVE
bleue 46033,ADJECTIVE
villa 45928,NOUN
chaos 45822,NOUN
trucs 45787,NOUN,PLURAL
gamme 45748,NOUN,HAS_EXAMPLE
abbé 45959,NOUN
durer 45437,VERB,HAS_EXAMPLE
laine 45355,NOUN
aidé 44752,PARTICIPLE
latin 43936,ADJECTIVE
rends 43858,VERB,FORM_OF,IMP,INFLECTED_FORM
dirai 43787,VERB
veuve 43801,NOUN
remet 43752,VERB,3PS,INFLECTED_FORM
teint 43459,ADJECTIVE
chers 43575,ADJECTIVE
bouge 43386,NOUN,HAS_EXAMPLE
hâte 43340,NOUN,HAS_EXAMPLE
lente 43161,ADJECTIVE
mené 43093,PARTICIPLE
flots 42708,NOUN,PLURAL
orage 42394,NOUN
rires 42322,NOUN,PLURAL
prime 42139,ADJECTIVE,HAS_EXAMPLE
tendu 42061,ADJECTIVE
reins 42042,NOUN,PLURAL
riant 41918,ADJECTIVE
louer 41743,VERB
enfer 41707,NOUN
miens 41524,ADJECTIVE
match 41474,NOUN
grise 41515,ADJECTIVE
issus 41436,ADJECTIVE
vendu 41408,ADJECTIVE
trous 41284,NOUN,PLURAL
vents 41055,NOUN,PLURAL
coton 40861,NOUN
vêtu 40764,ADJECTIVE
avoue 40635,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
flanc 40398,NOUN
camps 40355,NOUN,PLURAL
saura 40247,VERB,3PS,INFLECTED_FORM
chats 40141,NOUN,PLURAL
laver 40051,VERB
loups 40007,NOUN,PLURAL
gants 39940,NOUN,PLURAL
ondes 39689,NOUN,PLURAL
songe 39578,NOUN
loger 39577,VERB,HAS_EXAMPLE
poils 39564,NOUN,PLURAL
meurt 39504,VERB,3PS,INFLECTED_FORM
ennui 39380,NOUN
veste 39298,NOUN,HAS_EXAMPLE
paroi 39280,NOUN
noyau 39109,NOUN
roses 38891,ADJECTIVE
porta 38588,VERB,3PS,INFLECTED_FORM
brise 38369,NOUN
demie 38482,ADJECTIVE
tronc 38383,NOUN
roche 38260,NOUN
tests 38165,NOUN,PLURAL
codes 38202,NOUN,PLURAL
essor 38119,NOUN,HAS_EXAMPLE
vache 37778,ADJECTIVE,HAS_EXAMPLE
canne 37749,NOUN
olive 37498,NOUN
brume 37307,NOUN
mines 37154,NOUN,PLURAL
plomb 37271,NOUN,HAS_EXAMPLE
battu 37132,ADJECTIVE,HAS_EXAMPLE
neveu 36997,NOUN
sauce 36985,NOUN
vives 37001,ADJECTIVE
sympa 36854,ADJECTIVE,HAS_EXAMPLE
ruine 36770,NOUN
dates 36723,VERB,INFLECTED_FORM,SUBJ
sourd 36381,ADJECTIVE
aides 36250,NOUN,PLURAL
subit 36133,ADJECTIVE
fiche 36144,NOUN
prose 35889,NOUN
stage 35913,NOUN,HAS_EXAMPLE
plaie 35845,NOUN
habit 35826,NOUN
robes 35774,NOUN,PLURAL
fouet 35658,NOUN
pacte 35379,NOUN,HAS_EXAMPLE
mince 35205,ADJECTIVE
naît 35029,VERB,3PS,INFLECTED_FORM
valet 35019,NOUN
aille 34938,VERB,3PS,FORM_OF,HAS_EXAMPLE,IMP,INFLECTED_FORM,SUBJ
doté 34661,PARTICIPLE
tribu 34523,NOUN
toits 34541,NOUN,PLURAL
acide 34257,ADJECTIVE
album 34111,NOUN
peurs 34101,NOUN,PLURAL
menti 34014,PARTICIPLE
cieux 34005,NOUN,PLURAL
vœux 33906,NOUN,PLURAL
fonde 33817,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
exact 33687,ADJECTIVE
gêne 33659,NOUN
grain 33544,NOUN
tueur 33487,NOUN
tache 33420,NOUN
belge 33221,ADJECTIVE
duré 33307,PARTICIPLE
rural 33211,ADJECTIVE
autel 33163,NOUN
bombe 33152,NOUN
pèse 33164,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
brave 32916,ADJECTIVE
coule 33033,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
garda 32892,VERB,3PS,INFLECTED_FORM
tenus 32725,PARTICIPLE
maïs 32810,NOUN,HAS_EXAMPLE
doué 32632,ADJECTIVE,HAS_EXAMPLE
resto 32550,NOUN
cruel 32507,ADJECTIVE
bague 32447,NOUN
roues 32452,NOUN,PLURAL
poule 32381,NOUN,HAS_EXAMPLE
flics 32342,NOUN,PLURAL
oubli 32315,NOUN
hurla 32314,VERB,3PS,INFLECTED_FORM
volé 32080,PARTICIPLE
peser 32059,VERB,HAS_EXAMPLE
fumer 32031,VERB
juré 31907,NOUN
blocs 31848,NOUN,PLURAL
hôte 31803,NOUN
quels 31688,ADJECTIVE
idiot 31639,ADJECTIVE
âges 31506,NOUN,PLURAL
varie 31450,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
nœud 31401,NOUN
bancs 31272,NOUN,PLURAL
socio 31185,NOUN
ponts 31183,NOUN,PLURAL
pairs 31153,ADJECTIVE
filer 30857,VERB,HAS_EXAMPLE
amont 30866,NOUN
finis 30840,ADJECTIVE
bulle 30777,NOUN
noté 30739,PARTICIPLE
sauta 30678,VERB,3PS,INFLECTED_FORM
ronde 30628,ADJECTIVE
ravie 30553,ADJECTIVE
saute 30472,NOUN
suffi 30461,PARTICIPLE
coupa 30298,VERB,3PS,INFLECTED_FORM
rites 30286,NOUN,PLURAL
armé 30276,ADJECTIVE
douze 30244,NUMERAL
brune 30151,ADJECTIVE
pôle 30066,NOUN
conte 29970,NOUN
taxes 29916,NOUN,PLURAL
saine 29805,ADJECTIVE
bourg 29635,NOUN
mâle 29605,ADJECTIVE
mette 29507,VERB,3PS,INFLECTED_FORM,SUBJ
irait 29311,VERB,3PS,INFLECTED_FORM
peint 29270,PARTICIPLE
kilos 29272,NOUN,PLURAL
punir 29171,VERB
dormi 29126,PARTICIPLE
logis 29018,NOUN
ports 28882,NOUN,PLURAL
vider 28893,VERB,HAS_EXAMPLE
micro 28861,NOUN
zèle 28802,NOUN
peste 28691,INTERJECTION
cessa 28605,VERB,3PS,INFLECTED_FORM
dense 28416,ADJECTIVE
stock 28406,NOUN
vices 28380,NOUN,PLURAL
zéro 28168,NOUN
larme 28111,NOUN
fines 28072,ADJECTIVE
rives 28138,NOUN,PLURAL
aimez 28048,VERB,IMP,INFLECTED_FORM
clubs 27989,NOUN,PLURAL
loyer 27963,NOUN
virus 27915,NOUN
sexes 27894,NOUN,PLURAL
vigne 27788,NOUN
émis 27806,PARTICIPLE
hoche 27784,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
marin 27679,ADJECTIVE
globe 27579,NOUN
nuire 27568,VERB,HAS_EXAMPLE
meute 27544,NOUN,HAS_EXAMPLE
taper 27470,VERB,HAS_EXAMPLE
adore 27429,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
admet 27388,VERB,3PS,INFLECTED_FORM
riait 27341,VERB,3PS,INFLECTED_FORM
rente 27235,NOUN
sobre 27225,ADJECTIVE
sonne 27222,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
gosse 27008,NOUN
solde 27027,NOUN,HAS_EXAMPLE
stylo 26894,NOUN
ôter 26824,VERB
tarif 26710,NOUN
parcs 26694,NOUN,PLURAL
noces 26624,NOUN,PLURAL
mixte 26465,ADJECTIVE
encre 26376,NOUN
couru 26334,PARTICIPLE
joies 26233,NOUN,PLURAL
bouts 26168,NOUN,PLURAL
cède 26162,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
orale 26094,ADJECTIVE
phare 25912,ADJECTIVE,HAS_EXAMPLE
avoua 25918,VERB,3PS,INFLECTED_FORM
infos 25863,NOUN,PLURAL
lapin 25886,NOUN
vital 25831,ADJECTIVE
ruban 25834,NOUN
ferez 25823,VERB
fées 25696,NOUN,PLURAL
halte 25540,INTERJECTION
moine 25429,NOUN
pires 25482,ADJECTIVE
fixes 25327,ADJECTIVE
buste 25010,NOUN,HAS_EXAMPLE
galop 24909,NOUN
pompe 24774,NOUN
sirop 24768,NOUN,HAS_EXAMPLE
robot 24754,NOUN,HAS_EXAMPLE
perds 24716,VERB,FORM_OF,IMP,INFLECTED_FORM
relie 24656,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
pouls 24614,NOUN
bruns 24312,ADJECTIVE
baies 24167,NOUN,PLURAL
plier 24055,VERB
patte 24025,NOUN
sûrs 23914,ADJECTIVE
islam 23875,NOUN
salua 23876,VERB,3PS,INFLECTED_FORM
levai 23730,VERB
finie 23724,PARTICIPLE
grade 23629,NOUN
salue 23627,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
gère 23557,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
jouit 23495,VERB,3PS,FORM_OF,INFLECTED_FORM
hache 23494,NOUN
sabre 23213,NOUN
tués 23196,PARTICIPLE
trahi 23145,PARTICIPLE
figea 23172,VERB,3PS,INFLECTED_FORM
moque 23138,NOUN
fosse 23044,NOUN,HAS_EXAMPLE
lisse 23014,ADJECTIVE
gains 22950,NOUN,PLURAL
selle 22928,NOUN
races 22856,NOUN,PLURAL
